Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
Read1	scRNA-seq Level 1	Read 1 content description	True		String	Cell Barcode and UMI cDNA
Read2	scRNA-seq Level 1	Read 2 content description	True		String	Cell Barcode and UMI cDNA
End Bias	scRNA-seq Level 1	The end of the cDNA molecule that is preferentially sequenced, e.g. 3/5 prime tag/end or the full length transcript	True		String	3 Prime 5 Prime Full Length Transcript
Reverse Transcription Primer	scRNA-seq Level 1	An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA	True		String	Oligo-dT Poly-dT Feature barcoding Random
Spike In	scRNA-seq Level 1,Bulk RNA-seq Level 1	A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix	True		String	ERCC Other Spike In No Spike In PhiX
Sequencing Platform	scRNA-seq Level 1,scATAC-seq Level 1,scmC-seq Level 1,Bulk WES Level 1,Bulk Methylation-seq Level 1,Bulk RNA-seq Level 1,HI-C-seq Level 1	A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.	True		String	Illumina Next Seq 500 Illumina Next Seq 550 Illumina Next Seq 2500 Illumina NovaSeq 6000 Illumina MiSeq 454 GS FLX Titanium AB SOLiD 4 AB SOLiD 2 AB SOLiD 3 Complete Genomics Illumina HiSeq X Ten Illumina HiSeq X Five Illumina Genome Analyzer II Illumina Genome Analyzer IIx Illumina HiSeq 2000 Illumina HiSeq 2500 Illumina HiSeq 4000 Illumina NextSeq Ion Torrent PGM Ion Torrent Proton Ion Torrent S5 PacBio RS NovaSeq 6000 NovaSeqS4 Ultima Genomics UG100 Oxford Nanopore minION GridION PromethION PacBio Sequel2 Revio Illumina NextSeq 1000 Illumina NextSeq 2000 Other unknown Not Reported
Total Number of Input Cells	scRNA-seq Level 1	Number of cells loaded/placed on plates	True		String	
Input Cells and Nuclei	scRNA-seq Level 1	Number of cells and number of nuclei input; entry format: number, number	True		String	
Library Preparation Days from Index	scRNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number]. If not applicable please enter 'Not Applicable'	False		String	
Single Cell Dissociation Days from Index	scRNA-seq Level 1	Number of days between sample for single cell assay was received in lab and when the sample was dissociated and cells were isolated [number]. If not applicable please enter 'Not Applicable'	True		String	
Sequencing Library Construction Days from Index	scRNA-seq Level 1	Number of days between sample for assay was received in lab and day of sequencing library construction [number]. If not applicable please enter 'Not Applicable'	True		String	
Nucleic Acid Capture Days from Index	scRNA-seq Level 1	Number of days between sample for single cell assay was received in lab and day of nucleic acid capture part of library construction (in number of days since sample received in lab) [number]. If not applicable please enter 'Not Applicable'	True		String	
Protocol Link	scRNA-seq Level 1,scATAC-seq Level 1,HI-C-seq Level 1	Protocols.io ID or DOI link to a free/open protocol resource describing in detail the assay protocol (e.g. surface markers used in Smart-seq, dissociation duration,  lot/batch numbers for key reagents such as primers, sequencing reagent kits, etc.) or the protocol by which the sample was obtained or generated.	True		String	
Technical Replicate Group	scRNA-seq Level 1,scATAC-seq Level 1,scmC-seq Level 1,HI-C-seq Level 1	A common term for all files belonging to the same cell or library. Provide a numbering of each library prep batch (can differ from encapsulation and sequencing batch)	False		String	
Empty Well Barcode	scRNA-seq Level 1	Unique cell barcode assigned to empty cells used as controls in CEL-seq2 assays.	True	Library Construction Method is "CEL-seq2"	String	
Well Index	scRNA-seq Level 1	Indicate if protein expression (EPCAM/CD45) positive/negative data  is available for each cell in CEL-seq2 assays	False	Library Construction Method is "CEL-seq2"	String	yes no
Feature Reference Id	scRNA-seq Level 1	Unique ID for this feature. Must not contain whitespace, quote or comma characters. Each ID must be unique and must not collide with a gene identifier from the transcriptome [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/using/feature-bc-analysis#feature-ref]	True	Reverse Transcription Primer is "Feature barcoding"	String	
UMI Barcode Offset	scRNA-seq Level 1	Start position of UMI barcode in the sequence. Values: number, 0 for start of read	True	Spatial Read2 is "Spatial Barcode and UMI"	String	
UMI Barcode Length	scRNA-seq Level 1	Length of UMI barcode read (in bp): number	True	Spatial Read2 is "Spatial Barcode and UMI"	String	
Cell Barcode and UMI	scRNA-seq Level 1,scmC-seq Level 1	Cell and transcript identifiers	False		String	
Median UMIs per Cell Number	scRNA-seq Level 1	Number	True	Read2 is "Cell Barcode and UMI"	String	
Cell Barcode Offset	scRNA-seq Level 1	Offset in sequence for cell barcode read (in bp): number	True	Read2 is "Cell Barcode and UMI"	String	
Cell Barcode Length	scRNA-seq Level 1	Length of cell barcode read (in bp): number	True	Read2 is "Cell Barcode and UMI"	String	
Valid Barcodes Cell Number	scRNA-seq Level 1	Number	True	Read2 is "Cell Barcode and UMI"	String	
CEL-seq2	scRNA-seq Level 1	Highly-multiplexed plate-based single-cell RNA-Seq assay	False		String	
Feature barcoding	scRNA-seq Level 1	A method for adding extra channels of information to cells by running single-cell gene expression in parallel with other assays [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc]	False		String	
HTAN Parent Data File ID	scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scDNA-seq Level 2,scATAC-seq Level 2,scATAC-seq Level 3,scATAC-seq Level 4,scmC-seq Level 2,Bulk WES Level 2,Bulk WES Level 3,Bulk Methylation-seq Level 2,Bulk Methylation-seq Level 3,Bulk RNA-seq Level 2,Bulk RNA-seq Level 3,HI-C-seq Level 2,HI-C-seq Level 3	HTAN Data File Identifier indicating the file(s) from which these files were derived	True		String	
scRNAseq Workflow Type	scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4	Generic name for the workflow used to analyze a data set.	True		String	CellRanger STARsolo HCA Optimus dropEST SEQC Cufflinks DEXSeq HTSeq - FPKM Cell annotation Differentiation trajectory analysis Other
Workflow Version	scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scATAC-seq Level 4	Major version of the workflow (e.g. Cell Ranger v3.1)	True		String	
scRNAseq Workflow Parameters Description	scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4	Parameters used to run the workflow. scRNA-seq level 3: e.g. Normalization and log transformation, ran empty drops or doublet detection, used filter on # genes/cell, etc. scRNA-seq Level 4: dimensionality reduction with PCA and 50 components, nearest-neighbor graph with k = 20 and Leiden clustering with resolution = 1, UMAP visualization using 50 PCA components, marker genes used to annotate cell types, information about droplet matrix (all barcodes) to cell matrix (only informative barcodes representing real cells) conversion	True		String	
Workflow Link	scRNA-seq Level 2,scRNA-seq Level 3,scRNA-seq Level 4,scATAC-seq Level 4,Bulk RNA-seq Level 3	Link to workflow or command. DockStore.org recommended. URL	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Genomic Reference	scRNA-seq Level 2,scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk WES Level 3,Bulk RNA-seq Level 2,HI-C-seq Level 1,HI-C-seq Level 2,HI-C-seq Level 3,Bulk RNA-seq Level 3	Exact version of the human genome reference used in the alignment of reads (e.g. GCF_000001405.39)	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Genomic Reference URL	scRNA-seq Level 2,scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk WES Level 3,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2,Bulk RNA-seq Level 3	Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz)	True	Pseudo Alignment Used is "Yes - Pseudo Alignment Used"	String	
Genome Annotation URL	scRNA-seq Level 2	Link to the human genome annotation (GTF) file (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/gencode.v34.annotation.gtf.gz)	True		String	
Checksum	scRNA-seq Level 2	MD5 checksum of the BAM file	True		String	
Whitelist Cell Barcode File Link	scRNA-seq Level 2	Link to file listing all possible cell barcodes. URL	True		String	
Cell Barcode Tag	scRNA-seq Level 2	SAM tag for cell barcode field; please provide a valid cell barcode tag (e.g. CB:Z)	True		String	
UMI Tag	scRNA-seq Level 2	SAM tag for the UMI field; please provide a valid UB, UMI (e.g. UB:Z or UR:Z)	True		String	
Applied Hard Trimming	scRNA-seq Level 2	Was Hard Trimming applied	True		String	Yes - Applied Hard Trimming no
Is lowest level	scRNA-seq Level 2,Bulk WES Level 2,Bulk RNA-seq Level 2	Denotes that the manifest represents the lowest data level submitted. Use when L1 data is missing	False		String	Yes - Is lowest level no
Yes - Is lowest level	scRNA-seq Level 2	If manifest is lowest level require HTAN Parent Biospecimen ID	False		String	
Data Category	scRNA-seq Level 3,Bulk RNA-seq Level 3	Specific content type of the data file.	True		String	Gene Expression Transcript Expression Exon Expression Quantification Gene Expression Quantification Isoform Expression Quantification Splice Junction Quantification Other
Matrix Type	scRNA-seq Level 3,Bulk RNA-seq Level 3	Type of data stored in matrix.	True		String	Raw Counts Normalized Counts Scaled Counts Batch Corrected Counts
Linked Matrices	scRNA-seq Level 3	All matrices associated with every part of a SingleCellExperiment object. Comma-delimited list of filenames	False		String	
Cell Median Number Reads	scRNA-seq Level 3	Median number of reads per cell. Number	True		String	
Cell Median Number Genes	scRNA-seq Level 3	Median number of genes detected per cell. Number	True		String	
Cell Total	scRNA-seq Level 3	Number of sequenced  cells. Applies to raw counts matrix only.	True		String	
Sequencing Batch ID	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Links samples to a specific local sequencer run. Can be string or 'null'	True		String	
Library Layout	scDNA-seq Level 1,scmC-seq Level 1,Bulk WES Level 1,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 1	Sequencing read type	True		String	Paired End Single Read Mid-length Long Read
Library Selection Method	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	How RNA molecules are isolated.	True		String	Hybrid Selection PCR Affinity Enrichment Poly-T Enrichment Random rRNA Depletion miRNA Size Fractionation Other
Read Length	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	The length of the sequencing reads. Can be integer, null	True		String	
Library Preparation Kit Name	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Name of Library Preparation Kit. String	True		String	
Library Preparation Kit Vendor	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Vendor of Library Preparation Kit. String	True		String	
Library Preparation Kit Version	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Version of Library Preparation Kit. String	True		String	
Adapter Name	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Name of the sequencing adapter. String	False		String	
Adapter Sequence	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Base sequence of the sequencing adapter. String	False		String	
Base Caller Name	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Name of the base caller. String	False		String	
Base Caller Version	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Version of the base caller. String	False		String	
Flow Cell Barcode	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Flow cell barcode. Wrong or missing information may affect analysis results. String	False		String	
Fragment Maximum Length	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Maximum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer	False		String	
Fragment Mean Length	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Mean length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Number	False		String	
Fragment Minimum Length	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Minimum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer	False		String	
Fragment Standard Deviation Length	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Standard deviation of the sequenced fragments length (e.g., as predicted by Agilent Bioanalyzer). Number	False		String	
Lane Number	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	The basic machine unit for sequencing. For Illumina machines, this reflects the physical lane number. Wrong or missing information may affect analysis results. Integer	False		String	
Library Strand	scDNA-seq Level 1,Bulk RNA-seq Level 1	Library stranded-ness.	False		String	Unstranded First Stranded Second Stranded Not Applicable
Multiplex Barcode	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	The barcode/index sequence used. Wrong or missing information may affect analysis results. String	False		String	
Size Selection Range	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Range of size selection. String	False		String	
Target Depth	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	The targeted read depth prior to sequencing. Integer	False		String	
To Trim Adapter Sequence	scDNA-seq Level 1,Bulk WES Level 1,Bulk RNA-seq Level 1	Does the user suggest adapter trimming?	False		String	Yes - Trim Adapter Sequence no
Adapter Content	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Basic Statistics	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Encoding	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	Version of ASCII encoding of quality values found in the file. String	False		String	
Kmer Content	scDNA-seq Level 1,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Overrepresented Sequences	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Base N Content	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Base Sequence Content	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Base Sequence Quality	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Sequence GC Content	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Sequence Quality Score	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Per Tile Sequence Quality	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Percent GC Content	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	The overall %GC of all bases in all sequences. Integer	False		String	
Sequence Duplication Levels	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Sequence Length Distribution	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.	False		String	FAIL PASS WARN unknown Not Reported
Total Reads	scDNA-seq Level 1,scDNA-seq Level 2,scATAC-seq Level 1,scATAC-seq Level 2,scmC-seq Level 1,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 1,Bulk RNA-seq Level 2,HI-C-seq Level 1	Total number of reads per sample. Integer	False		String	
QC Workflow Type	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	Generic name for the workflow used to analyze a data set. String	False		String	
QC Workflow Version	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	Major version for a workflow. String	False		String	
QC Workflow Link	scDNA-seq Level 1,Bulk WES Level 2,Bulk RNA-seq Level 1	Link to workflow used. String	False		String	
Alignment Workflow Url	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Link to workflow used for read alignment. DockStore.org recommended. String	True		String	
Alignment Workflow Type	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Generic name for the workflow used to analyze a data set.	True		String	BWA BWA with BQSR BWA-aln BWA-mem BWA with Mark Duplicates and BQSR STAR 2-Pass STAR 2-Pass Chimeric STAR 2-Pass Genome STAR 2-Pass Transcriptome Bowtie Bismark GSNAP BSMAP BSmooth BS-Seeker2 BS-Seeker RMAP MethylCoder BRAT-BW Pash Segemehl Bisulfighter BatMeth LAST ERNE-BS5 B-SOLANA SOCS-B BWA-meth Other Alignment Workflow None
Index File Name	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	The name (or part of a name) of a file (of any type). String	True		String	
Average Base Quality	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Average base quality collected from samtools. Number	False		String	
Average Insert Size	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Average insert size collected from samtools. Integer	False		String	
Average Read Length	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Average read length collected from samtools. Integer	False		String	
Mean Coverage	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard. Number	False		String	
Pairs On Diff CHR	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Pairs on different chromosomes collected from samtools. Integer	False		String	
Proportion Reads Mapped	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Proportion of mapped reads collected from samtools. Number	False		String	
MapQ30	scDNA-seq Level 2,scATAC-seq Level 1,scATAC-seq Level 2	Number of reads with Quality >= 30.	False		String	
Total Uniquely Mapped	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Number of reads that map to genome. Integer	False		String	
Total Unmapped reads	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Number of reads that did not map to genome. Integer	False		String	
Proportion Reads Duplicated	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Proportion of duplicated reads collected from samtools. Number	False		String	
Short Reads	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Number of reads that were too short. Integer	False		String	
Proportion Coverage 10x	scDNA-seq Level 2,scATAC-seq Level 2,Bulk WES Level 2	Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 10X or greater coverage from Picard Tools.	False		String	
Proportion Coverage 30X	scDNA-seq Level 2,scATAC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2	Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 30X or greater coverage from Picard Tools.	False		String	
Proportion Targets No Coverage	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Proportion of targets that did not reach 1X coverage over any base from Picard Tools. Number	False		String	
Proportion Base Mismatch	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Proportion of mismatched bases collected from samtools. Number	False		String	
Proportion Mitochondrial Reads	scDNA-seq Level 2	Proportion of reads mapping to mitochondria.	False		String	
Contamination	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Fraction of reads coming from cross-sample contamination collected from GATK4. Number	False		String	
Contamination Error	scDNA-seq Level 2,scATAC-seq Level 2,scmC-seq Level 2,Bulk WES Level 2,Bulk Methylation-seq Level 2,Bulk RNA-seq Level 2	Estimation error of cross-sample contamination collected from GATK4. Number	False		String	
Single Nucleus Buffer	scATAC-seq Level 1,scmC-seq Level 1	Nuclei isolation buffer	True		String	NIB 10x Omni TST
Transposition Reaction	scATAC-seq Level 1,HI-C-seq Level 1	Name of the transposase, transposon sequences	True		String	Tn5 EZ-Tn5 Tn5-059 Nextera Tn5 Diagenode-unloaded Apex-Bio Diagenode-loaded Apex-Bio In-House
scATACseq Library Layout	scATAC-seq Level 1	Sequencing read type	True		String	scATACseq Paired End
Nucleus Identifier	scATAC-seq Level 1,scmC-seq Level 1	Unique nuclei barcode; added at transposition step. Determines which nucleus the reads originated from	True		String	Nuclei Barcode
Nuclei Barcode Length	scATAC-seq Level 1	Nuclei Barcode Length	True		String	
Nuclei Barcode Read	scATAC-seq Level 1	Nuclei Barcode Read	True		String	
scATACseq Read1	scATAC-seq Level 1	Read 1 content description	True		String	Cell Barcode and DNA Insert Sample Index and DNA Insert DNA Insert Sample Index Cell Barcode
scATACseq Read2	scATAC-seq Level 1	Read 2 content description	True		String	Cell Barcode and DNA Insert Sample Index and DNA Insert DNA Insert Sample Index Cell Barcode
scATACseq Read3	scATAC-seq Level 1	Read 3 content description	False		String	Cell Barcode and DNA Insert Sample Index and DNA Insert DNA Insert Sample Index Cell Barcode
Threshold for Minimum Passing Reads	scATAC-seq Level 1,scmC-seq Level 1	Threshold for calling cells	True		String	
Total Number of Passing Nuclei	scATAC-seq Level 1,scmC-seq Level 1	Number of nuclei sequenced	True		String	
Median Fraction of Reads in Peaks	scATAC-seq Level 1,scmC-seq Level 1	Median fraction of reads in peaks (FRIP)	True		String	
Median Fraction of Reads in Annotated cis DNA Elements	scATAC-seq Level 1	Median fraction of reads in annotated cis-DNA elements (FRIADE)	True		String	
